"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
94,"Peugeot e-3008 97 kWh Long Range","Available to order since October 2024","C",5,"500 km","194 Wh/km","2.241 kg","8,7 sec","512 km","96,9 kWh","135 kW","1.200 kg","588 L","€106 /km","€52,750","€49,915","£48,650","https://ev-database.org/car/2005/Peugeot-e-3008-97-kWh-Long-Range","https://ev-database.org/img/auto/Peugeot_e-3008_2024/Peugeot_e-3008_2024-01-thumb.jpg"
95,"Kia e-Niro 64 kWh","Discontinued (December 2020 - April 2022)","C",5,"375 km","171 Wh/km","1.812 kg","7,8 sec","349 km","64,0 kWh","64 kW","300 kg","451 L","€108 /km","€42,790","€38,995","£34,995","https://ev-database.org/car/1338/Kia-e-Niro-64-kWh","https://ev-database.org/img/auto/Kia_e-Niro-2020/Kia_e-Niro-2020-01-thumb.jpg"
96,"Skoda Enyaq 85","Discontinued (September 2023 - January 2025)","C",5,"450 km","171 Wh/km","2.137 kg","6,7 sec","467 km","77,0 kWh","120 kW","1.000 kg","585 L","€112 /km","€48,900","€50,990","£44,540","https://ev-database.org/car/2020/Skoda-Enyaq-85","https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg"
97,"Kia EV9 99.8 kWh AWD","Available to order since September 2023","F",7,"435 km","221 Wh/km","2.625 kg","6,0 sec","485 km","96,0 kWh","194 kW","2.500 kg","385 L","€171 /km","€76,490","€72,295","N/A","https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD","https://ev-database.org/img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb.jpg"
98,"Audi Q6 e-tron quattro","Available to order since April 2024","D",5,"480 km","198 Wh/km","2.400 kg","5,9 sec","567 km","94,9 kWh","200 kW","2.400 kg","590 L","€161 /km","€74,700","€77,950","£68,975","https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro","https://ev-database.org/img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg"
99,"VinFast VF 8 Eco Extended Range","Available to order since November 2023","D",5,"405 km","217 Wh/km","2.530 kg","5,9 sec","416 km","87,7 kWh","120 kW","1.800 kg","376 L","€128 /km","€52,990","€50,690","N/A","https://ev-database.org/car/1807/VinFast-VF-8-Eco-Extended-Range","https://ev-database.org/img/auto/VinFast_VF_8/VinFast_VF_8-01-thumb.jpg"
100,"Tesla Model S 100D","Discontinued (January 2017 - February 2019)","F",5,"485 km","196 Wh/km","2.290 kg","4,3 sec","486 km","95,0 kWh","100 kW","0 kg","895 L","€223 /km","€108,420","€113,320","£89,650","https://ev-database.org/car/1088/Tesla-Model-S-100D","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
101,"BYD SEALION 7 82.5 kWh RWD Comfort","Available to order since December 2024","D",5,"425 km","194 Wh/km","2.200 kg","6,7 sec","445 km","82,5 kWh","115 kW","750 kg","578 L","€120 /km","€47,990","€50,690","£46,990","https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort","https://ev-database.org/img/auto/BYD_SEALION_7/BYD_SEALION_7-01-thumb.jpg"
102,"BMW i4 M50","Discontinued (November 2021 - May 2024)","D",5,"450 km","179 Wh/km","2.290 kg","3,9 sec","510 km","80,7 kWh","131 kW","1.600 kg","470 L","€170 /km","€70,800","€76,786","£71,085","https://ev-database.org/car/1519/BMW-i4-M50","https://ev-database.org/img/auto/BMW_i4_M50/BMW_i4_M50-01-thumb.jpg"
103,"Skoda Elroq 60","Available to order since October 2024","C",5,"350 km","169 Wh/km","2.000 kg","8,5 sec","395 km","59,0 kWh","105 kW","1.000 kg","470 L","€109 /km","€38,400","€37,990","£33,350","https://ev-database.org/car/3032/Skoda-Elroq-60","https://ev-database.org/img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg"
104,"BYD SEAL 82.5 kWh RWD Design","Available to order since September 2023","D",5,"480 km","172 Wh/km","2.130 kg","5,9 sec","507 km","82,5 kWh","100 kW","750 kg","453 L","€102 /km","€44,990","€48,690","£45,695","https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design","https://ev-database.org/img/auto/BYD_SEAL/BYD_SEAL-01-thumb.jpg"
105,"Nissan Leaf","Available to order since March 2022","C",5,"235 km","166 Wh/km","1.580 kg","7,9 sec","218 km","39,0 kWh","40 kW","0 kg","435 L","€134 /km","€35,900","€25,700","£28,495","https://ev-database.org/car/1656/Nissan-Leaf","https://ev-database.org/img/auto/Nissan_Leaf_2022/Nissan_Leaf_2022-01-thumb.jpg"
106,"Lynk&Co 02","Available to order since November 2024","C",5,"375 km","176 Wh/km","1.820 kg","5,5 sec","405 km","66,0 kWh","90 kW","1.600 kg","425 L","€93 /km","€35,995","€33,995","N/A","https://ev-database.org/car/3045/LynkCo-02","https://ev-database.org/img/auto/LynkCo_02_2024/LynkCo_02_2024-01-thumb.jpg"
107,"BMW i5 eDrive40 Sedan","Available to order since May 2023","E",5,"470 km","173 Wh/km","2.205 kg","6,0 sec","535 km","81,2 kWh","136 kW","1.500 kg","490 L","€166 /km","€70,200","€78,608","£74,105","https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan","https://ev-database.org/img/auto/BMW_i5_eDrive40_Sedan/BMW_i5_eDrive40_Sedan-01-thumb.jpg"
108,"Dacia Spring Electric 45","Available to order since April 2024","A",4,"165 km","152 Wh/km","1.020 kg","19,1 sec","151 km","25,0 kWh","29 kW","0 kg","343 L","€107 /km","€16,900","€18,950","£14,995","https://ev-database.org/car/2126/Dacia-Spring-Electric-45","https://ev-database.org/img/auto/Dacia_Spring_Electric_2024/Dacia_Spring_Electric_2024-01-thumb.jpg"
109,"Tesla Model 3 Standard Range Plus LFP","Discontinued (November 2020 - December 2021)","D",5,"350 km","150 Wh/km","1.825 kg","5,6 sec","412 km","52,5 kWh","95 kW","1.000 kg","649 L","€136 /km","€45,560","€49,990","£40,990","https://ev-database.org/car/1320/Tesla-Model-3-Standard-Range-Plus-LFP","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
110,"Opel Corsa-e","Discontinued (November 2021 - October 2023)","B",5,"295 km","157 Wh/km","1.530 kg","8,1 sec","321 km","46,3 kWh","78 kW","0 kg","309 L","€127 /km","€36,395","€36,999","£33,930","https://ev-database.org/car/1585/Opel-Corsa-e","https://ev-database.org/img/auto/Opel_Corsa-e/Opel_Corsa-e-01-thumb.jpg"
111,"BMW iX xDrive60","Available to order since January 2025","E",5,"525 km","208 Wh/km","2.580 kg","4,6 sec","554 km","109,1 kWh","150 kW","2.500 kg","500 L","€195 /km","€99,900","€99,900","£93,105","https://ev-database.org/car/3110/BMW-iX-xDrive60","https://ev-database.org/img/auto/BMW_iX_2025/BMW_iX_2025-01-thumb.jpg"
112,"Tesla Model 3 Performance","Discontinued (November 2020 - April 2022)","D",5,"470 km","162 Wh/km","1.919 kg","3,4 sec","555 km","76,0 kWh","135 kW","0 kg","649 L","€137 /km","€59,560","€64,990","£59,990","https://ev-database.org/car/1322/Tesla-Model-3-Performance","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
113,"Hyundai IONIQ 5 Long Range 2WD","Discontinued (April 2022 - August 2024)","C",5,"390 km","190 Wh/km","2.010 kg","7,3 sec","492 km","74,0 kWh","200 kW","1.600 kg","584 L","€132 /km","€47,900","€52,895","£46,945","https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg"
114,"MG MG4 Electric 51 kWh","Available to order since October 2022","C",5,"300 km","169 Wh/km","1.710 kg","7,7 sec","306 km","50,8 kWh","68 kW","500 kg","363 L","€109 /km","€34,990","€32,285","£26,995","https://ev-database.org/car/1707/MG-MG4-Electric-51-kWh","https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg"
115,"Volvo EX40 Single Motor ER","Available to order since February 2024","C",5,"400 km","198 Wh/km","2.075 kg","7,3 sec","441 km","79,0 kWh","125 kW","1.500 kg","441 L","€135 /km","€55,490","€51,995","£47,705","https://ev-database.org/car/2121/Volvo-EX40-Single-Motor-ER","https://ev-database.org/img/auto/Volvo_EX40_2025/Volvo_EX40_2025-01-thumb.jpg"
116,"Dacia Spring Electric 45","Discontinued (July 2022 - April 2024)","A",4,"165 km","152 Wh/km","1.012 kg","19,1 sec","151 km","25,0 kWh","29 kW","0 kg","300 L","€134 /km","€22,550","€21,750","N/A","https://ev-database.org/car/1705/Dacia-Spring-Electric-45","https://ev-database.org/img/auto/Dacia_Spring_Electric_2022/Dacia_Spring_Electric_2022-01-thumb.jpg"
117,"Audi Q4 e-tron 45","Available to order since September 2023","C",5,"420 km","183 Wh/km","2.145 kg","6,7 sec","460 km","77,0 kWh","120 kW","1.000 kg","520 L","€132 /km","€52,950","€54,865","£50,745","https://ev-database.org/car/2013/Audi-Q4-e-tron-45","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
118,"Peugeot e-208","Discontinued (November 2021 - December 2023)","B",5,"285 km","162 Wh/km","1.530 kg","9,0 sec","311 km","46,3 kWh","78 kW","0 kg","265 L","€129 /km","€39,100","€34,920","£31,595","https://ev-database.org/car/1583/Peugeot-e-208","https://ev-database.org/img/auto/Peugeot_e-208_GT/Peugeot_e-208_GT-01-thumb.jpg"
119,"Citroen e-C4","Discontinued (November 2021 - December 2024)","C",5,"290 km","160 Wh/km","1.636 kg","9,7 sec","318 km","46,3 kWh","78 kW","0 kg","380 L","€125 /km","€34,875","€37,205","£31,960","https://ev-database.org/car/1587/Citroen-e-C4","https://ev-database.org/img/auto/Citroen_e-C4/Citroen_e-C4-01-thumb.jpg"
120,"Jeep Avenger Electric","Available to order since January 2023","B",5,"310 km","164 Wh/km","1.595 kg","9,0 sec","327 km","50,8 kWh","85 kW","0 kg","355 L","€127 /km","€38,500","€39,500","£34,800","https://ev-database.org/car/1816/Jeep-Avenger-Electric","https://ev-database.org/img/auto/Jeep_Avenger/Jeep_Avenger-01-thumb.jpg"
121,"Hyundai IONIQ 5 Long Range AWD","Discontinued (April 2022 - August 2024)","C",5,"385 km","192 Wh/km","2.120 kg","5,1 sec","484 km","74,0 kWh","200 kW","1.600 kg","551 L","€154 /km","€59,200","€60,995","£50,445","https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg"
122,"Polestar 2 Long Range Dual Motor","Discontinued (September 2021 - January 2023)","D",5,"390 km","192 Wh/km","2.188 kg","4,7 sec","419 km","75,0 kWh","108 kW","1.500 kg","440 L","€144 /km","€54,995","€56,200","£49,550","https://ev-database.org/car/1488/Polestar-2-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Polestar_2_2022/Polestar_2_2022-01-thumb.jpg"
123,"Volkswagen ID.7 Tourer Pro S","Available to order since June 2024","E",5,"520 km","165 Wh/km","2.239 kg","6,7 sec","589 km","86,0 kWh","145 kW","1.000 kg","605 L","€119 /km","€59,785","€61,990","£56,140","https://ev-database.org/car/2119/Volkswagen-ID7-Tourer-Pro-S","https://ev-database.org/img/auto/Volkswagen_ID7_Tourer/Volkswagen_ID7_Tourer-01-thumb.jpg"
124,"NIO ET5 Long Range","Available to order since December 2022","E",5,"500 km","180 Wh/km","2.235 kg","4,0 sec","494 km","90,0 kWh","100 kW","1.400 kg","386 L","€140 /km","€68,500","€71,700","N/A","https://ev-database.org/car/1787/NIO-ET5-Long-Range","https://ev-database.org/img/auto/NIO_ET5/NIO_ET5-01-thumb.jpg"
125,"Peugeot e-3008 73 kWh","Available to order since November 2023","C",5,"380 km","192 Wh/km","2.183 kg","8,8 sec","397 km","73,0 kWh","90 kW","1.250 kg","588 L","€129 /km","€48,650","€45,415","£45,950","https://ev-database.org/car/2003/Peugeot-e-3008-73-kWh","https://ev-database.org/img/auto/Peugeot_e-3008_2024/Peugeot_e-3008_2024-01-thumb.jpg"
126,"Hongqi E-HS9 99 kWh","Available to order since December 2022","F",5,"370 km","243 Wh/km","2.705 kg","4,9 sec","367 km","90,0 kWh","112 kW","1.500 kg","438 L","€216 /km","N/A","€79,995","N/A","https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh","https://ev-database.org/img/auto/Hongqi_E-HS9/Hongqi_E-HS9-01-thumb.jpg"
127,"Dongfeng Box 42.3 kWh","Available to order since October 2024","B",5,"255 km","157 Wh/km","1.430 kg","12,5 sec","253 km","40,0 kWh","53 kW","unknown","326 L","€92 /km","N/A","€23,400","N/A","https://ev-database.org/car/3036/Dongfeng-Box-423-kWh","https://ev-database.org/img/auto/Dongfeng_Box/Dongfeng_Box-01-thumb.jpg"
128,"Zeekr 7X Performance AWD","Available to order from May 2025*","D",5,"475 km","198 Wh/km","2.100 kg","3,8 sec","603 km","94,0 kWh","260 kW","2.000 kg","581 L","€135 /km","N/A","€63,990","N/A","https://ev-database.org/car/3083/Zeekr-7X-Performance-AWD","https://ev-database.org/img/auto/Zeekr_7X_2024/Zeekr_7X_2024-01-thumb.jpg"
129,"Smart EQ fortwo coupe","Discontinued (January 2020 - May 2023)","A",2,"100 km","167 Wh/km","1.095 kg","11,6 sec","71 km","16,7 kWh","0 kW","0 kg","260 L","€241 /km","€21,940","€24,885","£22,225","https://ev-database.org/car/1230/Smart-EQ-fortwo-coupe","https://ev-database.org/img/auto/Smart_fortwo_2020/Smart_fortwo_2020-01-thumb.jpg"
130,"Polestar 2 Long Range Single Motor","Discontinued (September 2021 - January 2023)","D",5,"420 km","179 Wh/km","2.069 kg","7,4 sec","451 km","75,0 kWh","108 kW","1.500 kg","440 L","€124 /km","€50,995","€52,200","£46,450","https://ev-database.org/car/1487/Polestar-2-Long-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_2_2022/Polestar_2_2022-01-thumb.jpg"
131,"Mazda MX-30","Available to order since May 2022","C",5,"170 km","176 Wh/km","1.720 kg","9,7 sec","167 km","30,0 kWh","32 kW","0 kg","366 L","€212 /km","€35,990","€36,440","£31,250","https://ev-database.org/car/1680/Mazda-MX-30","https://ev-database.org/img/auto/Mazda_MX-30/Mazda_MX-30-01-thumb.jpg"
132,"Opel Grandland 73 kWh","Available to order since October 2024","C",5,"365 km","200 Wh/km","2.232 kg","9,0 sec","381 km","73,0 kWh","90 kW","1.200 kg","550 L","€128 /km","€46,750","€45,999","£40,995","https://ev-database.org/car/3037/Opel-Grandland-73-kWh","https://ev-database.org/img/auto/Opel_Grandland_2024/Opel_Grandland_2024-01-thumb.jpg"
133,"MG ZS EV","Discontinued (September 2019 - November 2021)","B",5,"220 km","193 Wh/km","1.566 kg","8,2 sec","222 km","42,5 kWh","53 kW","0 kg","448 L","€141 /km","€31,990","€30,985","£26,095","https://ev-database.org/car/1201/MG-ZS-EV","https://ev-database.org/img/auto/MG_ZS_EV/MG_ZS_EV-01-thumb.jpg"
134,"DS N°8 AWD Long Range","Available to order since February 2024","D",5,"535 km","182 Wh/km","2.289 kg","5,4 sec","578 km","97,2 kWh","130 kW","1.600 kg","620 L","€138 /km","€75,000","€73,600","£63,290","https://ev-database.org/car/3078/DS-N8-AWD-Long-Range","https://ev-database.org/img/auto/DS_No8_2024/DS_No8_2024-01-thumb.jpg"
135,"Peugeot e-2008 SUV","Discontinued (June 2020 - December 2021)","B",5,"260 km","178 Wh/km","1.623 kg","8,5 sec","285 km","46,3 kWh","78 kW","0 kg","434 L","€143 /km","€35,450","€40,930","£30,730","https://ev-database.org/car/1206/Peugeot-e-2008-SUV","https://ev-database.org/img/auto/Peugeot_e-2008_SUV/Peugeot_e-2008_SUV-01-thumb.jpg"
136,"Honda e:Ny1","Available to order since June 2023","B",5,"335 km","185 Wh/km","1.730 kg","7,6 sec","318 km","61,9 kWh","60 kW","0 kg","361 L","€130 /km","€38,990","€46,149","£39,995","https://ev-database.org/car/1940/Honda-eNy1","https://ev-database.org/img/auto/Honda_e:Ny1/Honda_e:Ny1-01-thumb.jpg"
137,"Volvo EX30 Cross Country","Available to order since February 2025","B",5,"320 km","200 Wh/km","1.983 kg","3,7 sec","361 km","64,0 kWh","114 kW","1.600 kg","325 L","€172 /km","€57,290","€52,995","N/A","https://ev-database.org/car/3118/Volvo-EX30-Cross-Country","https://ev-database.org/img/auto/Volvo_EX30_CrossCountry/Volvo_EX30_CrossCountry-01-thumb.jpg"
138,"DS N°8 FWD Long Range","Available to order since February 2024","D",5,"555 km","175 Wh/km","2.180 kg","7,8 sec","593 km","97,2 kWh","130 kW","1.400 kg","620 L","€113 /km","€63,200","€62,200","£54,690","https://ev-database.org/car/3077/DS-N8-FWD-Long-Range","https://ev-database.org/img/auto/DS_No8_2024/DS_No8_2024-01-thumb.jpg"
139,"BMW i7 xDrive60","Available to order since November 2022","F",5,"510 km","199 Wh/km","2.715 kg","4,7 sec","564 km","101,7 kWh","159 kW","2.000 kg","500 L","€272 /km","€139,900","€145,453","£113,970","https://ev-database.org/car/1676/BMW-i7-xDrive60","https://ev-database.org/img/auto/BMW_i7_2022/BMW_i7_2022-01-thumb.jpg"
140,"Zeekr 001 Performance AWD","Available to order since September 2023","E",5,"480 km","196 Wh/km","2.410 kg","3,8 sec","524 km","94,0 kWh","135 kW","2.000 kg","539 L","€134 /km","€63,970","€64,490","N/A","https://ev-database.org/car/1934/Zeekr-001-Performance-AWD","https://ev-database.org/img/auto/Zeekr_001_2023/Zeekr_001_2023-01-thumb.jpg"
141,"XPENG G9 RWD Long Range","Available to order since February 2023","E",5,"480 km","194 Wh/km","2.285 kg","6,4 sec","592 km","93,1 kWh","224 kW","1.500 kg","731 L","€130 /km","€61,600","€63,188","N/A","https://ev-database.org/car/1825/XPENG-G9-RWD-Long-Range","https://ev-database.org/img/auto/XPENG_G9/XPENG_G9-01-thumb.jpg"
142,"Ford Explorer Extended Range RWD","Available to order since March 2024","C",5,"430 km","179 Wh/km","2.190 kg","6,4 sec","446 km","77,0 kWh","120 kW","1.000 kg","536 L","€114 /km","€48,510","€45,950","£45,875","https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD","https://ev-database.org/img/auto/Ford_Explorer_2024/Ford_Explorer_2024-01-thumb.jpg"
143,"BMW i4 eDrive35","Available to order since June 2024","D",5,"430 km","156 Wh/km","2.075 kg","6,0 sec","486 km","67,1 kWh","95 kW","1.600 kg","470 L","€137 /km","€57,500","€59,728","£51,270","https://ev-database.org/car/2198/BMW-i4-eDrive35","https://ev-database.org/img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg"
144,"MG MG5 Electric Long Range","Available to order since March 2022","C",5,"335 km","171 Wh/km","1.637 kg","7,7 sec","325 km","57,4 kWh","60 kW","500 kg","479 L","€112 /km","€38,490","€38,885","£30,995","https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range","https://ev-database.org/img/auto/MG_MG5_Electric_2021/MG_MG5_Electric_2021-01-thumb.jpg"
145,"BYD SEAL U 71.8 kWh Comfort","Available to order since April 2024","D",5,"360 km","199 Wh/km","2.095 kg","9,3 sec","352 km","71,8 kWh","72 kW","1.300 kg","552 L","€118 /km","€41,990","€42,990","N/A","https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort","https://ev-database.org/img/auto/BYD_SEAL_U/BYD_SEAL_U-01-thumb.jpg"
146,"Audi Q8 e-tron 55 quattro","Discontinued (December 2022 - November 2024)","E",5,"505 km","210 Wh/km","2.585 kg","5,6 sec","515 km","106,0 kWh","144 kW","1.800 kg","631 L","€171 /km","€87,300","€78,990","£80,715","https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro","https://ev-database.org/img/auto/Audi_Q8-etron-2023/Audi_Q8-etron-2023-01-thumb.jpg"
147,"Polestar 4 Long Range Single Motor","Available to order since January 2024","E",5,"495 km","190 Wh/km","2.305 kg","7,4 sec","533 km","94,0 kWh","135 kW","1.500 kg","541 L","€133 /km","€63,200","€64,800","£59,990","https://ev-database.org/car/1841/Polestar-4-Long-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_4_2024/Polestar_4_2024-01-thumb.jpg"
148,"Porsche Macan 4 Electric","Available to order since January 2024","D",5,"485 km","196 Wh/km","2.405 kg","5,2 sec","580 km","95,0 kWh","200 kW","2.000 kg","624 L","€174 /km","€84,100","€88,899","£69,800","https://ev-database.org/car/2084/Porsche-Macan-4-Electric","https://ev-database.org/img/auto/Porsche_Macan_4_2024/Porsche_Macan_4_2024-01-thumb.jpg"
149,"CUPRA Tavascan Endurance","Available to order since June 2024","C",5,"445 km","173 Wh/km","2.178 kg","6,8 sec","467 km","77,0 kWh","120 kW","1.000 kg","540 L","€120 /km","€56,210","€48,990","£47,340","https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance","https://ev-database.org/img/auto/CUPRA_Tavascan_2024/CUPRA_Tavascan_2024-01-thumb.jpg"
150,"MG Cyberster GT","Available to order since April 2024","S",2,"400 km","186 Wh/km","2.000 kg","3,2 sec","415 km","74,4 kWh","85 kW","unknown","249 L","€174 /km","€69,990","€69,990","£59,995","https://ev-database.org/car/2203/MG-Cyberster-GT","https://ev-database.org/img/auto/MG_Cyberster/MG_Cyberster-01-thumb.jpg"
151,"Peugeot e-5008 73 kWh","Available to order since June 2024","D",7,"370 km","197 Wh/km","2.218 kg","9,7 sec","388 km","73,0 kWh","90 kW","1.000 kg","348 L","€140 /km","€51,150","€48,415","£48,650","https://ev-database.org/car/2149/Peugeot-e-5008-73-kWh","https://ev-database.org/img/auto/Peugeot_e-5008_2024/Peugeot_e-5008_2024-01-thumb.jpg"
152,"Opel Mokka-e 50 kWh","Discontinued (November 2021 - October 2024)","B",5,"260 km","178 Wh/km","1.598 kg","9,2 sec","285 km","46,3 kWh","78 kW","0 kg","310 L","€154 /km","€40,650","€36,999","£36,610","https://ev-database.org/car/1586/Opel-Mokka-e-50-kWh","https://ev-database.org/img/auto/Opel_Mokka-e/Opel_Mokka-e-01-thumb.jpg"
153,"Toyota bZ4X AWD","Available to order since June 2022","C",5,"345 km","186 Wh/km","2.075 kg","6,9 sec","377 km","64,0 kWh","100 kW","750 kg","452 L","€160 /km","€57,390","€52,995","£47,810","https://ev-database.org/car/1565/Toyota-bZ4X-AWD","https://ev-database.org/img/auto/Toyota_bZ4X/Toyota_bZ4X-01-thumb.jpg"
154,"Renault Zoe ZE50 R135","Discontinued (November 2019 - May 2024)","B",5,"310 km","168 Wh/km","1.577 kg","9,5 sec","271 km","52,0 kWh","41 kW","0 kg","338 L","€117 /km","€37,840","€36,195","£29,995","https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135","https://ev-database.org/img/auto/Renault_Zoe_2020/Renault_Zoe_2020-01-thumb.jpg"
155,"Hyundai IONIQ 6 Long Range AWD","Available to order since November 2022","D",5,"440 km","168 Wh/km","2.095 kg","5,1 sec","568 km","74,0 kWh","200 kW","1.500 kg","416 L","€135 /km","€61,100","€59,395","£50,540","https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD","https://ev-database.org/img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg"
156,"Mercedes-Benz EQA 250+","Available to order since October 2023","C",5,"420 km","168 Wh/km","2.055 kg","8,6 sec","414 km","70,5 kWh","90 kW","1.500 kg","340 L","€129 /km","€52,205","€52,546","£49,750","https://ev-database.org/car/1985/Mercedes-Benz-EQA-250plus","https://ev-database.org/img/auto/Mercedes_EQA_2024/Mercedes_EQA_2024-01-thumb.jpg"
157,"XPENG G6 RWD Standard Range","Available to order since May 2024","D",5,"370 km","178 Wh/km","2.100 kg","6,9 sec","443 km","66,0 kWh","140 kW","unknown","571 L","€121 /km","€43,600","€44,990","£39,990","https://ev-database.org/car/2181/XPENG-G6-RWD-Standard-Range","https://ev-database.org/img/auto/XPENG_G6/XPENG_G6-01-thumb.jpg"
158,"Tesla Model X 100D","Discontinued (January 2017 - February 2019)","F",7,"435 km","218 Wh/km","2.533 kg","4,9 sec","434 km","95,0 kWh","100 kW","2.250 kg","unknown","€259 /km","€115,000","€117,820","£91,650","https://ev-database.org/car/1089/Tesla-Model-X-100D","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
159,"Volkswagen ID. Buzz Pro","Discontinued (September 2022 - July 2024)","N",5,"345 km","223 Wh/km","2.459 kg","10,2 sec","368 km","77,0 kWh","115 kW","1.000 kg","1.121 L","€183 /km","€64,581","€56,990","£59,035","https://ev-database.org/car/1651/Volkswagen-ID-Buzz-Pro","https://ev-database.org/img/auto/Volkswagen_ID_Buzz/Volkswagen_ID_Buzz-01-thumb.jpg"
160,"Hyundai IONIQ 5 N","Available to order since November 2023","C",5,"390 km","205 Wh/km","2.225 kg","3,4 sec","482 km","80,0 kWh","205 kW","0 kg","480 L","€191 /km","€74,900","€73,995","£65,000","https://ev-database.org/car/2044/Hyundai-IONIQ-5-N","https://ev-database.org/img/auto/Hyundai_IONIQ5_N_2024/Hyundai_IONIQ5_N_2024-01-thumb.jpg"
161,"Leapmotor C10","Available to order since October 2024","C",5,"355 km","197 Wh/km","1.980 kg","7,5 sec","329 km","69,9 kWh","70 kW","1.500 kg","435 L","€110 /km","€36,400","€39,050","£36,500","https://ev-database.org/car/3040/Leapmotor-C10","https://ev-database.org/img/auto/Leapmotor_C10/Leapmotor_C10-01-thumb.jpg"
162,"Tesla Model 3 Long Range Dual Motor","Discontinued (May 2021 - December 2021)","D",5,"490 km","155 Wh/km","1.919 kg","4,4 sec","584 km","76,0 kWh","135 kW","1.000 kg","649 L","€117 /km","€55,260","€58,990","N/A","https://ev-database.org/car/1525/Tesla-Model-3-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
163,"Hyundai IONIQ 5 84 kWh AWD","Available to order since July 2024","C",5,"440 km","182 Wh/km","2.175 kg","5,3 sec","549 km","80,0 kWh","205 kW","1.600 kg","544 L","€136 /km","€59,400","€61,395","£50,900","https://ev-database.org/car/2237/Hyundai-IONIQ-5-84-kWh-AWD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg"
164,"Audi e-tron GT quattro","Discontinued (March 2021 - March 2024)","F",4,"420 km","202 Wh/km","2.350 kg","4,1 sec","529 km","85,0 kWh","216 kW","0 kg","490 L","€253 /km","€106,050","€111,505","£87,800","https://ev-database.org/car/1420/Audi-e-tron-GT-quattro","https://ev-database.org/img/auto/Audi_e-tron_GT_quattro/Audi_e-tron_GT_quattro-01-thumb.jpg"
165,"Hyundai IONIQ 6 Standard Range 2WD","Available to order since January 2023","D",5,"335 km","149 Wh/km","1.850 kg","8,8 sec","418 km","50,0 kWh","120 kW","750 kg","446 L","€134 /km","€43,900","€45,895","N/A","https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD","https://ev-database.org/img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg"
