"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
45,"Mercedes-Benz EQB 250+","Available to order since October 2023","C",7,"415 km","170 Wh/km","2.105 kg","8,9 sec","414 km","70,5 kWh","90 kW","1.400 kg","495 L","€136 /km","€53,514","€54,966","£52,800","https://ev-database.org/car/1988/Mercedes-Benz-EQB-250plus","https://ev-database.org/img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg"
46,"Tesla Model 3 Long Range Dual Motor","Discontinued (November 2021 - October 2023)","D",5,"485 km","155 Wh/km","1.919 kg","4,4 sec","577 km","75,0 kWh","124 kW","1.000 kg","649 L","€112 /km","€53,668","€50,993","£50,990","https://ev-database.org/car/1591/Tesla-Model-3-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
47,"Mercedes-Benz EQC 400 4MATIC","Discontinued (November 2020 - July 2023)","D",5,"370 km","216 Wh/km","2.495 kg","5,1 sec","366 km","80,0 kWh","100 kW","1.800 kg","500 L","€202 /km","€66,069","€73,216","£74,330","https://ev-database.org/car/1337/Mercedes-Benz-EQC-400-4MATIC","https://ev-database.org/img/auto/Mercedes_EQC/Mercedes_EQC-01-thumb.jpg"
48,"Tesla Model S Plaid","Available to order since November 2022","F",5,"560 km","170 Wh/km","2.265 kg","2,3 sec","636 km","95,0 kWh","140 kW","1.600 kg","798 L","€212 /km","€120,970","€120,990","* £100,000","https://ev-database.org/car/1405/Tesla-Model-S-Plaid","https://ev-database.org/img/auto/Tesla_Model_S_2021/Tesla_Model_S_2021-01-thumb.jpg"
49,"Volkswagen ID.7 Pro","Available to order since August 2023","E",5,"475 km","162 Wh/km","2.172 kg","6,5 sec","541 km","77,0 kWh","125 kW","1.000 kg","532 L","€120 /km","€53,995","€57,990","£51,550","https://ev-database.org/car/1839/Volkswagen-ID7-Pro","https://ev-database.org/img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb.jpg"
50,"Toyota bZ4X FWD","Available to order since June 2022","C",5,"350 km","183 Wh/km","1.970 kg","7,5 sec","384 km","64,0 kWh","100 kW","750 kg","452 L","€136 /km","€47,490","€45,995","£42,860","https://ev-database.org/car/1564/Toyota-bZ4X-FWD","https://ev-database.org/img/auto/Toyota_bZ4X/Toyota_bZ4X-01-thumb.jpg"
51,"Fiat Grande Panda","Available to order since October 2024","B",5,"260 km","168 Wh/km","1.511 kg","11,0 sec","270 km","43,8 kWh","60 kW","550 kg","361 L","€96 /km","€24,990","€25,990","£20,975","https://ev-database.org/car/2251/Fiat-Grande-Panda","https://ev-database.org/img/auto/Fiat_Grande_Panda_2024/Fiat_Grande_Panda_2024-01-thumb.jpg"
52,"Tesla Model 3 Performance","Available to order since April 2024","D",5,"490 km","153 Wh/km","1.929 kg","3,2 sec","585 km","75,0 kWh","124 kW","0 kg","682 L","€126 /km","€58,470","€58,490","£59,990","https://ev-database.org/car/2188/Tesla-Model-3-Performance","https://ev-database.org/img/auto/Tesla_Model_3_Performance_2024/Tesla_Model_3_Performance_2024-01-thumb.jpg"
53,"Citroen e-C3","Available to order since February 2024","B",5,"260 km","169 Wh/km","1.491 kg","11,5 sec","272 km","44,0 kWh","60 kW","550 kg","310 L","€93 /km","€23,300","€24,290","£21,990","https://ev-database.org/car/2039/Citroen-e-C3","https://ev-database.org/img/auto/Citroen_e-C3/Citroen_e-C3-01-thumb.jpg"
54,"Volkswagen ID.7 Pro S","Available to order since June 2024","E",5,"525 km","164 Wh/km","2.230 kg","6,6 sec","600 km","86,0 kWh","145 kW","1.000 kg","532 L","€117 /km","€58,985","€60,990","£55,450","https://ev-database.org/car/1840/Volkswagen-ID7-Pro-S","https://ev-database.org/img/auto/Volkswagen_ID7/Volkswagen_ID7-01-thumb.jpg"
